"macro"	"model"	"class"	"faction"	"price"	"weapons"	"turrets"	"shields"	"hull"	"mass"	"cargo"	"engines"	"drag_fwd"	"drag_rev"	"drag_pitch"	"drag_yaw"	"drag_roll"	"crew"	"docks"	"hangars"	"dlc"	"role"
"ship_ter_l_trans_container_01_a_macro"	"Okinawa"	"l"	"terran"	4472180	0	8	2	36000	277.66	42000	1	71.649	286.596	122.532	122.532	122.532	57	1	40	2	"trader"
"ship_ter_l_destroyer_01_a_macro"	"Osaka"	"l"	"terran"	11833870	2	13	3	95000	202.028	2800	2	80.406	321.623	107.406	107.406	107.406	75	1	40	2	"military"
"ship_tel_m_frigate_01_b_macro"	"Osprey Sentinel"	"m"	"tel"	1263720	2	4	3	39000	82.42	2916	2	20.968	58.71	16.173	16.173	16.173	12	1	1	0	"military"
"ship_tel_m_frigate_01_a_macro"	"Osprey Vanguard"	"m"	"tel"	1044205	2	4	3	33000	68.683	2430	2	17.851	49.983	13.77	13.77	13.77	15	1	1	0	"military"
"ship_xen_m_fighter_01_a_macro"	"P"	"m"	"xen"	78620	2	2	2	10000	25.959	0	1	4.944	19.777	8.99	8.99	8.99	0	0	0	0	"military"
"ship_par_s_scout_01_b_macro"	"Pegasus Sentinel"	"s"	"par"	97330	1	0	1	1600	6.918	528	3	3.446	8.793	3.568	3.568	3.568	1	0	0	0	"military"
"ship_par_s_scout_01_a_macro"	"Pegasus Vanguard"	"s"	"par"	80050	1	0	1	1300	5.765	440	3	3.255	7.64	3.208	3.208	3.208	2	0	0	0	"military"
"ship_tel_l_trans_container_01_b_macro"	"Pelican Sentinel"	"l"	"tel"	3199035	0	6	3	63000	482.471	40800	3	187.68	750.718	163.494	163.494	163.494	83	2	40	0	"trader"
"ship_tel_l_trans_container_01_a_macro"	"Pelican Vanguard"	"l"	"tel"	2652815	0	6	3	52000	402.059	34000	3	165.566	662.265	147.412	147.412	147.412	100	2	40	0	"trader"
"ship_tel_m_bomber_01_b_macro"	"Peregrine Sentinel"	"m"	"tel"	870425	2	4	3	14000	34.121	1020	2	10.01	40.04	11.03	11.03	11.03	7	0	0	0	"military"
"ship_tel_m_bomber_01_a_macro"	"Peregrine Vanguard"	"m"	"tel"	735710	2	4	3	12000	28.434	850	2	8.72	34.879	9.609	9.609	9.609	9	0	0	0	"military"
"ship_par_s_fighter_01_b_macro"	"Perseus Sentinel"	"s"	"par"	188150	2	0	1	4400	9.307	288	3	4.206	14.557	3.461	3.461	3.461	2	0	0	0	"military"
"ship_par_s_fighter_01_a_macro"	"Perseus Vanguard"	"s"	"par"	156805	2	0	1	3700	7.756	240	3	3.993	13.006	3.025	3.025	3.025	3	0	0	0	"military"
"ship_tel_l_destroyer_01_b_macro"	"Phoenix Sentinel"	"l"	"tel"	6307905	2	11	3	124000	263.299	4440	3	101.926	407.703	119.66	119.66	119.66	41	2	40	0	"military"
"ship_tel_l_destroyer_01_a_macro"	"Phoenix Vanguard"	"l"	"tel"	5273360	2	11	3	104000	219.416	3700	3	92.271	369.086	110.883	110.883	110.883	50	2	40	0	"military"
"ship_par_m_miner_liquid_01_b_macro"	"Plutus (Gas) Sentinel"	"m"	"par"	162505	0	2	1	5000	39.553	11520	1	3.577	20.441	20.299	20.299	20.299	8	0	0	0	"miner"
"ship_par_m_miner_liquid_01_a_macro"	"Plutus (Gas) Vanguard"	"m"	"par"	133010	0	2	1	4000	32.96	9600	1	3.101	17.721	17.332	17.332	17.332	10	0	0	0	"miner"
"ship_par_m_miner_solid_01_b_macro"	"Plutus (Mineral) Sentinel"	"m"	"par"	162505	1	2	1	5000	39.553	11520	1	3.577	20.441	20.299	20.299	20.299	8	0	0	0	"miner"
"ship_par_m_miner_solid_01_a_macro"	"Plutus (Mineral) Vanguard"	"m"	"par"	133010	1	2	1	4000	32.961	9000	1	3.101	17.721	17.332	17.332	17.332	10	0	0	0	"miner"
"ship_par_m_trans_container_03_a_macro"	"Prometheus"	"m"	"paranid"	292080	3	3	2	11000	23.192	4000	1	3.423	13.692	7.468	7.468	7.468	12	0	0	0	"plunderer"
"ship_kha_s_fighter_01_a_macro"	"Protector"	"s"	"khaak"	0	2	0	1	800	3	0	1	1	17	1	2	2	0	0	0	0	"military"
"ship_arg_s_fighter_03_a_macro"	"Pulsar Vanguard"	"s"	"argon"	113565	6	0	1	1900	7.94	150	3	5.763	25.881	3.419	3.419	3.419	3	0	0	0	"military"
"ship_spl_xl_battleship_01_a_macro"	"Python"	"xl"	"split"	0	2	26	1	230000	353.74	1000	4	146.979	587.917	693.673	693.673	693.673	65	2	50	1	""
"ship_arg_s_fighter_04_a_macro"	"Quasar Vanguard"	"s"	"argon"	100545	4	0	1	1700	6.976	190	2	4.675	17.964	3.586	3.586	3.586	3	0	0	0	"military"
"ship_kha_m_fighter_01_a_macro"	"Queens Guard"	"m"	"khaak"	0	2	0	1	4000	16	0	1	3.25	35	7	6	6	0	0	0	0	"military"
"ship_pir_s_trans_condensate_01_a_macro"	"Raleigh (Condensate)"	"s"	"argon"	217900	1	0	1	2200	19.407	250	2	5.679	22.82	7.002	7.002	7.002	4	0	0	3	"trader"
"ship_pir_s_trans_container_01_a_macro"	"Raleigh (Container)"	"s"	"argon"	203995	1	0	1	2200	16.876	2080	2	5.331	20.288	6.211	6.211	6.211	4	0	0	3	"trader"
"ship_ter_s_scout_01_a_macro"	"Rapier"	"s"	"terran"	213800	1	0	1	1400	5.844	440	1	1.182	4.729	3.232	3.232	3.232	2	0	0	2	"military"
"ship_spl_xl_carrier_01_a_macro"	"Raptor"	"xl"	"split"	32605075	0	101	1	590000	863.742	19000	1	120.582	482.329	867.348	867.348	867.348	309	22	130	1	"military"
"ship_spl_l_destroyer_01_a_macro"	"Rattlesnake"	"l"	"split"	12490790	4	18	1	211000	248.855	800	3	72.939	291.756	116.771	116.771	116.771	92	1	40	1	"military"
"ship_tel_s_trans_container_02_a_macro"	"Raven"	"s"	"tel"	566090	2	0	3	6700	30.818	1760	4	8.102	40.443	9.511	9.511	9.511	5	0	0	0	"raven"
"ship_xen_m_miner_01_a_macro"	"S"	"m"	"xen"	71350	1	1	2	6000	49.951	9500	1	8.243	32.973	14.988	14.988	14.988	0	0	0	0	"miner"
"ship_par_l_trans_container_02_b_macro"	"Selene Sentinel"	"l"	"par"	2410810	0	7	1	40000	310.905	22800	3	95.795	383.179	129.181	129.181	129.181	59	1	40	0	""
"ship_par_l_trans_container_02_a_macro"	"Selene Vanguard"	"l"	"par"	1995760	0	7	1	33000	259.087	19000	3	86.079	344.316	118.817	118.817	118.817	71	1	40	0	""
"ship_pir_s_heavyfighter_01_a_macro"	"Shih"	"s"	"argon"	274485	4	0	3	4900	10.353	590	2	4.434	13.765	4.501	4.501	4.501	2	0	0	3	"military"
"ship_arg_l_trans_container_04_b_macro"	"Shuyaku Sentinel"	"l"	"arg"	5429245	0	9	2	101000	780.498	44400	4	196.1	784.399	223.1	223.1	223.1	187	2	40	0	"trader"
"ship_arg_l_trans_container_04_a_macro"	"Shuyaku Vanguard"	"l"	"arg"	4520540	0	9	2	84000	650.415	37000	4	170.083	680.332	197.083	197.083	197.083	225	2	40	0	"trader"
"ship_gen_s_transdrone_container_01_a_macro"	"Small Drop Drone"	"s"	"gen"	23300	0	0	0	2200	1	0	1	5.5	24	6	4	6	0	0	0	0	""
"ship_gen_s_transdrone_container_02_a_macro"	"Small Terraforming Drone"	"s"	"gen"	23300	0	0	0	2200	1	0	1	5.5	24	6	4	6	0	0	0	0	""
"ship_arg_l_trans_container_05_b_macro"	"Sonra Sentinel"	"l"	"arg"	4294770	0	9	2	80000	616.414	34800	4	163.283	653.131	190.283	190.283	190.283	148	2	40	0	"trader"
"ship_arg_l_trans_container_05_a_macro"	"Sonra Vanguard"	"l"	"arg"	3587240	0	9	2	67000	513.678	29000	4	142.736	570.943	169.736	169.736	169.736	178	2	40	0	"trader"
"ship_tel_xl_resupplier_01_b_macro"	"Stork Sentinel"	"xl"	"tel"	9342630	0	9	2	126000	1076.221	30000	3	369.055	1476.221	915.244	915.244	915.244	166	9	50	0	"resupplier"
"ship_tel_xl_resupplier_01_a_macro"	"Stork Vanguard"	"xl"	"tel"	7784855	0	9	2	105000	896.85	25000	3	324.213	1296.85	879.37	879.37	879.37	200	9	50	0	"resupplier"
"ship_arg_m_miner_liquid_01_b_macro"	"Sunder (Gas) Sentinel"	"m"	"arg"	161380	0	2	1	5000	38.926	12480	1	4.709	26.909	18.858	18.858	18.858	7	0	0	0	"miner"
"ship_arg_m_miner_liquid_01_a_macro"	"Sunder (Gas) Vanguard"	"m"	"arg"	127545	0	2	1	4000	30.292	10400	1	3.878	22.161	16.132	16.132	16.132	9	0	0	0	"miner"
"ship_atf_l_destroyer_01_a_macro"	"Syn"	"l"	"terran"	14823980	3	12	3	119000	124.088	2600	1	48.613	194.453	91.818	91.818	91.818	187	1	40	2	"military"
"ship_xen_s_scout_01_a_macro"	"T"	"s"	"xen"	25880	1	0	1	1200	5.363	0	2	1.645	6.582	3.082	3.082	3.082	0	0	0	0	"military"
"ship_ter_s_fighter_03_a_macro"	"Takoba"	"s"	"terran"	343160	2	0	2	3400	7.335	110	3	3.664	9.835	2.907	2.907	2.907	2	0	0	2	"military"
"ship_tel_m_trans_container_02_b_macro"	"Tern Sentinel"	"m"	"tel"	308615	0	1	2	8000	68.18	11040	1	11.825	47.299	19.545	19.545	19.545	16	0	0	0	"trader"
"ship_tel_m_trans_container_02_a_macro"	"Tern Vanguard"	"m"	"tel"	266020	0	1	2	7000	56.817	9200	1	10.106	40.424	16.704	16.704	16.704	20	0	0	0	"trader"
"ship_par_s_miner_solid_01_a_macro"	"Tethys (Mineral)"	"s"	"par"	83265	2	0	1	1200	9.331	2100	3	4.21	20.83	6.186	6.186	6.186	3	0	0	0	"miner"
"ship_par_s_trans_container_01_b_macro"	"Tethys Sentinel"	"s"	"par"	183810	2	0	1	2600	20.155	1580	3	5.698	25.405	7.236	7.236	7.236	4	0	0	0	"trader"
"ship_par_s_trans_container_01_a_macro"	"Tethys Vanguard"	"s"	"par"	150295	2	0	1	2100	16.795	1580	3	5.236	22.045	6.186	6.186	6.186	5	0	0	0	"trader"
"ship_pir_l_scrapper_01_macro"	"Teuta"	"l"	"argon"	4322065	0	5	1	66000	505.41	7700	4	211.623	846.492	168.082	168.082	168.082	145	2	4	3	"compactor"
"ship_par_s_fighter_02_b_macro"	"Theseus Sentinel"	"s"	"par"	211940	3	0	1	5000	10.468	270	2	4.597	17.402	3.788	3.788	3.788	2	0	0	0	"military"
"ship_par_s_fighter_02_a_macro"	"Theseus Vanguard"	"s"	"par"	177380	3	0	1	4200	8.723	270	2	4.328	15.439	3.297	3.297	3.297	3	0	0	0	"military"
"ship_ter_xl_carrier_01_a_macro"	"Tokyo"	"xl"	"terran"	24318750	0	28	3	213000	542.639	22000	1	141.396	565.584	808.528	808.528	808.528	201	19	50	2	"military"
"ship_spl_s_trans_container_01_plot_01_macro"	"Tuatara"	"s"	"split"	0	2	0	1	2300	17.2	1350	3	5.1	21.8	6.3	6.3	6.3	4	0	0	1	""
"ship_spl_s_miner_solid_01_a_macro"	"Tuatara (Mineral)"	"s"	"split"	128200	2	0	1	1200	9.209	1720	3	4.002	19.656	3.815	3.815	3.815	2	0	0	1	"miner"
"ship_tfm_xl_carrier_01_a_macro"	"Unknown Ship"	"xl"	"tfm"	0	0	0	0	735000	1874.085	0	1	454.817	1819.268	1074.817	1074.817	1074.817	0	0	0	0	""
"ship_arg_l_trans_container_01_b_macro"	"Veles Sentinel"	"l"	"arg"	3694780	0	7	2	69000	529.12	43200	2	145.824	583.296	172.824	172.824	172.824	91	1	40	0	"trader"
"ship_arg_l_trans_container_01_a_macro"	"Veles Vanguard"	"l"	"arg"	3065695	0	7	2	57000	440.933	36000	2	128.187	512.747	155.187	155.187	155.187	110	1	40	0	"trader"
"ship_spl_m_bomber_01_a_macro"	"Viper"	"m"	"split"	0	2	6	1	25000	35.418	740	2	6.089	24.355	17.032	17.032	17.032	8	0	0	1	""
"ship_tel_m_trans_container_01_b_macro"	"Vulture Sentinel"	"m"	"tel"	308615	0	1	2	9000	75.756	12240	1	12.971	51.882	21.439	21.439	21.439	13	0	0	0	"trader"
"ship_tel_m_trans_container_01_a_macro"	"Vulture Vanguard"	"m"	"tel"	266020	0	1	2	8000	63.13	10200	1	11.061	44.244	18.283	18.283	18.283	16	0	0	0	"trader"
"ship_spl_l_miner_liquid_01_a_macro"	"Wyvern (Gas)"	"l"	"split"	1610285	0	8	1	21000	159.275	22000	3	40.867	233.528	98.855	98.855	98.855	29	2	40	1	"miner"
"ship_spl_l_miner_solid_01_a_macro"	"Wyvern (Mineral)"	"l"	"split"	1610285	0	10	1	21000	159.275	20000	3	40.867	233.528	98.855	98.855	98.855	29	2	40	1	"miner"
"ship_par_xl_carrier_02_a_macro"	"Zeus E"	"xl"	"paranid"	17540630	0	19	2	303000	771.902	22000	3	153.812	878.927	854.38	854.38	854.38	143	12	24	0	"military"
"ship_par_xl_carrier_01_b_macro"	"Zeus Sentinel"	"xl"	"par"	15747905	0	19	2	337000	857.54	24000	3	235.789	943.155	871.508	871.508	871.508	132	12	50	0	""
"ship_par_xl_carrier_01_a_macro"	"Zeus Vanguard"	"xl"	"par"	13127715	0	19	2	281000	714.616	20000	3	208.991	835.962	842.923	842.923	842.923	159	12	50	0	""
"ship_spl_s_trans_container_01_a_macro"	"Tuatara"	"s"	"split"	0	2	0	1	2300	17.2	1350	3	5.1	21.8	6.3	6.3	6.3	4	0	0	1	"trader"
"ship_bor_l_carrier_01_a_macro"	"Boron carrier"	"l"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_l_destroyer_01_a_macro"	"Boron destroyer"	"l"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_l_miner_liquid_01_a_macro"	"Boron miner_liquid"	"l"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"miner"
"ship_bor_l_miner_solid_01_a_macro"	"Boron miner_solid"	"l"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"miner"
"ship_bor_l_trans_container_01_a_macro"	"Boron trans_container"	"l"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"trader"
"ship_bor_m_corvette_01_a_macro"	"Boron corvette"	"m"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_m_corvette_02_a_macro"	"Boron corvette"	"m"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_m_gunboat_01_a_macro"	"Boron gunboat"	"m"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_m_miner_liquid_01_a_macro"	"Boron miner_liquid"	"m"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"miner"
"ship_bor_m_miner_solid_01_a_macro"	"Boron miner_solid"	"m"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"miner"
"ship_bor_m_trans_container_01_a_macro"	"Boron trans_container"	"m"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"trader"
"ship_bor_s_fighter_01_a_macro"	"Boron fighter"	"s"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_s_heavyfighter_01_a_macro"	"Boron heavyfighter"	"s"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_s_miner_solid_01_a_macro"	"Boron miner_solid"	"s"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"miner"
"ship_bor_s_scout_01_a_macro"	"Boron scout 1"	"s"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_s_scout_02_a_macro"	"Boron scout 2"	"s"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_s_trans_container_01_a_macro"	"Boron trans_container"	"s"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"trader"
"ship_bor_xl_builder_01_a_macro"	"Boron builder"	"xl"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"builder"
"ship_bor_xl_carrier_01_a_macro"	"Boron carrier"	"xl"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"military"
"ship_bor_xl_resupplier_01_a_macro"	"Boron resupplier"	"xl"	"boron"	1	0	0	1	1	1.000	1	1	1.000	1.000	1.000	1.000	1.000	1	1	1	4	"resupplier"
